"Basename","Sample_Name","Sample_Plate","Sample_Well","Sentrix_ID","Sentrix_Position","Sample_Group","Pool_ID"
"207781890024_R03C01","431-BG00094","Plate01","C8",207781890024,"R03C01","431-BG00094",NA
"207781890024_R04C01","431-BG00093","Plate01","D8",207781890024,"R04C01","431-BG00093",NA
"207781890024_R05C01","431-BG00102","Plate01","E8",207781890024,"R05C01","431-BG00102",NA
"207781890024_R06C01","431-BG00066","Plate01","F8",207781890024,"R06C01","431-BG00066",NA
"207781890024_R07C01","431-BG00038","Plate01","G8",207781890024,"R07C01","431-BG00038",NA
"207781890024_R08C01","431-BG00100","Plate01","H8",207781890024,"R08C01","431-BG00100",NA
"207804200028_R01C01","431-BG00043","Plate01","A9",207804200028,"R01C01","431-BG00043",NA
"207804200028_R02C01","431-BG00108","Plate01","B9",207804200028,"R02C01","431-BG00108",NA
"207804200028_R03C01","431-BG00101","Plate01","C9",207804200028,"R03C01","431-BG00101",NA
"207804200028_R04C01","431-BG00113","Plate01","D9",207804200028,"R04C01","431-BG00113",NA
"207804200028_R05C01","431-BG00034","Plate01","E9",207804200028,"R05C01","431-BG00034",NA
"207804200028_R06C01","431-BG00209","Plate01","F9",207804200028,"R06C01","431-BG00209",NA
"207804200028_R07C01","431-BG00195","Plate01","G9",207804200028,"R07C01","431-BG00195",NA
"207804200028_R08C01","431-BG00217","Plate01","H9",207804200028,"R08C01","431-BG00217",NA
"207804200094_R01C01","431-BG00210","Plate01","A10",207804200094,"R01C01","431-BG00210",NA
"207804200094_R02C01","431-BG00216","Plate01","B10",207804200094,"R02C01","431-BG00216",NA
"207804200094_R03C01","431-BG00084","Plate01","C10",207804200094,"R03C01","431-BG00084",NA
"207804200094_R04C01","431-BG00074","Plate01","D10",207804200094,"R04C01","431-BG00074",NA
"207804200094_R05C01","431-BG00019","Plate01","E10",207804200094,"R05C01","431-BG00019",NA
"207804200094_R06C01","431-BG00086","Plate01","F10",207804200094,"R06C01","431-BG00086",NA
"207804200094_R07C01","431-BG00087","Plate01","G10",207804200094,"R07C01","431-BG00087",NA
"207804200094_R08C01","431-BG00059","Plate01","H10",207804200094,"R08C01","431-BG00059",NA
"207804200015_R01C01","431-BG00076","Plate01","A11",207804200015,"R01C01","431-BG00076",NA
"207804200015_R02C01","431-BG00077","Plate01","B11",207804200015,"R02C01","431-BG00077",NA
"207804200015_R03C01","431-BG00085","Plate01","C11",207804200015,"R03C01","431-BG00085",NA
"207804200015_R04C01","431-BG00051","Plate01","D11",207804200015,"R04C01","431-BG00051",NA
"207804200015_R05C01","431-BG00053","Plate01","E11",207804200015,"R05C01","431-BG00053",NA
"207804200015_R06C01","431-BG00052","Plate01","F11",207804200015,"R06C01","431-BG00052",NA
"207804200015_R07C01","431-BG00165","Plate01","G11",207804200015,"R07C01","431-BG00165",NA
"207804200015_R08C01","431-BG00201","Plate01","H11",207804200015,"R08C01","431-BG00201",NA
"207804200092_R01C01","431-BG00226","Plate01","A12",207804200092,"R01C01","431-BG00226",NA
"207804200092_R02C01","431-BG00151","Plate01","B12",207804200092,"R02C01","431-BG00151",NA
"207804200092_R03C01","431-BG00176","Plate01","C12",207804200092,"R03C01","431-BG00176",NA
"207804200092_R04C01","431-BG00168","Plate01","D12",207804200092,"R04C01","431-BG00168",NA
"207804200092_R05C01","431-BG00200","Plate01","E12",207804200092,"R05C01","431-BG00200",NA
"207804200092_R06C01","431-BG00188","Plate01","F12",207804200092,"R06C01","431-BG00188",NA
"207804200092_R07C01","431-BG00128","Plate01","G12",207804200092,"R07C01","431-BG00128",NA
"207804200092_R08C01","431-BG00182","Plate01","H12",207804200092,"R08C01","431-BG00182",NA
"207678520084_R01C01","431-BG00145","Plate02","A1",207678520084,"R01C01","431-BG00145",NA
"207678520084_R02C01","431-BG00133","Plate02","B1",207678520084,"R02C01","431-BG00133",NA
"207678520084_R03C01","431-BG00123","Plate02","C1",207678520084,"R03C01","431-BG00123",NA
"207678520084_R04C01","431-BG00197","Plate02","D1",207678520084,"R04C01","431-BG00197",NA
"207678520084_R05C01","431-BG00134","Plate02","E1",207678520084,"R05C01","431-BG00134",NA
"207678520084_R06C01","431-BG00196","Plate02","F1",207678520084,"R06C01","431-BG00196",NA
"207678520084_R07C01","431-BG00136","Plate02","G1",207678520084,"R07C01","431-BG00136",NA
"207678520084_R08C01","431-BG00186","Plate02","H1",207678520084,"R08C01","431-BG00186",NA
"207678520127_R01C01","431-BG00167","Plate02","A2",207678520127,"R01C01","431-BG00167",NA
"207678520127_R02C01","431-BG00140","Plate02","B2",207678520127,"R02C01","431-BG00140",NA
"207678520127_R03C01","431-BG00169","Plate02","C2",207678520127,"R03C01","431-BG00169",NA
"207678520127_R04C01","431-BG00180","Plate02","D2",207678520127,"R04C01","431-BG00180",NA
"207678520127_R05C01","431-BG00155","Plate02","E2",207678520127,"R05C01","431-BG00155",NA
"207678520127_R06C01","431-BG00110","Plate02","F2",207678520127,"R06C01","431-BG00110",NA
"207678520127_R07C01","431-BG00126","Plate02","G2",207678520127,"R07C01","431-BG00126",NA
